ebaycode,conutry
1,
2,
3,
4,Afghanistan
5,Albanien
6,Algerien
7,Amerikanisch-Samoa
8,Andorra
9,Angola
10,Anguilla
11,Antigua und Barbuda
12,Argentinien
13,Armenien
14,Aruba
15,
16,
17,Aserbaidschan
18,Bahamas
19,Bahrain
20,Bangladesch
21,Barbados
22,Belarus (Weißrussland)
23,
24,Belize
25,Benin
26,Bermuda
27,Bhutan
28,Bolivien
29,Bosnien und Herzegowina
30,Botsuana
31,Brasilien
32,Britische Jungferninseln
33,Brunei Darussalam
34,Bulgarien
35,Burkina Faso
36,Burma (Myanmar)
37,Burundi
38,Kambodscha
39,Kamerun
40,Kap Verde
41,Kaiman-Inseln
42,Zentralafrikanische Republik
43,Tschad
44,Chile
45,China
46,Kolumbien
47,Komoren
48,Kongo, Demokratische Republik
49,Kongo, Republik
50,Cookinseln
51,Costa Rica
52,Côte d'Ivoire (Elfenbeinküste)
53,Kroatien
54,
55,Zypern
56,Tschechische Republik
57,Dänemark
58,Dschibuti
59,Dominica
60,Dominikanische Republik
61,Ecuador
62,Ägypten
63,El Salvador
64,Äquatorialguinea
65,Eritrea
66,Estland
67,Äthiopien
68,Falklandinseln (Malwinen)
69,Fidschi
70,Finnland
71,
72,Französisch-Guayana
73,Französisch-Polynesien
74,Gabun
75,Gambia
76,Georgia
77,
78,Ghana
79,Gibraltar
80,Griechenland
81,Grönland
82,Grenada
83,Guadeloupe
84,Guam
85,Guatemala
86,
87,Guinea
88,Guinea-Bissau
89,Guyana
90,Haiti
91,Honduras
92,Hongkong
93,Ungarn
94,Island
95,
96,Indonesien
97,
98,
99,Irland
100,Israel
101,
102,Jamaika
103,
104,Japan
105,
106,Jordanien
107,Kasachstan
108,Kenia
109,Kiribati
110,
111,Südkorea
112,Kuwait
113,Kirgisistan
114,Laos
115,Lettland
116,Libanon
117,
118,
119,
120,Liechtenstein
121,Litauen
122,Luxemburg
123,Macau
124,Mazedonien
125,Madagaskar
126,Malawi
127,Malaysia
128,Malediven
129,Mali
130,Malta
131,Marshallinseln
132,Martinique
133,Mauretanien
134,Mauritius
135,Mayotte
136,Mexiko
137,Moldawien
138,Monaco
139,Mongolei
140,Montserrat
141,Marokko
142,Mosambik
143,Namibia
144,Nauru
145,Nepal
146,
147,Niederländische Antillen
148,Neukaledonien
149,Neuseeland
150,Nicaragua
151,Niger
152,Nigeria
153,Niue
154,Norwegen
155,Oman
156,Pakistan
157,Palau
158,Panama
159,Papua-Neuguinea
160,Paraguay
161,Peru
162,Philippinen
163,
164,Portugal
165,Puerto Rico
166,Katar
167,Rumänien
168,Russische Föderation
169,Ruanda
170,St. Helena
171,St. Kitts und Nevis
172,St. Lucia
173,Saint-Pierre und Miquelon
174,St. Vincent und die Grenadinen
175,San Marino
176,Saudi-Arabien
177,Senegal
178,Seychellen
179,Sierra Leone
180,Singapur
181,Slowakei
182,Slowenien
183,Salomonen
184,Somalia
185,Südafrika
186,
187,Sri Lanka
188,
189,Suriname
190,
191,Swasiland
192,Schweden
193,
194,
195,
196,Taiwan
197,Tadschikistan
198,Tansania
199,Thailand
200,Togo
201,Tonga
202,Trinidad und Tobago
203,Tunesien
204,Türkei
205,Turkmenistan
206,Turks- und Caicosinseln
207,Tuvalu
208,Uganda
209,Ukraine
210,Vereinigte Arabische Emirate
211,Uruguay
212,Usbekistan
213,Vanuatu
214,Vatikan
215,Venezuela
216,Vietnam
217,Jungferninseln (USA)
218,Wallis und Futuna
219,Westsahara
220,Samoa (Westsamoa)
221,Jemen
222,
223,Sambia
224,Simbabwe
225,
226,Mikronesien
227,Réunion
228,Montenegro
229,Serbien
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
